Test Name,Owner,Started,Completed,Issues Found,Don Jr FeedBack
4.4.1.1,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.2,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.3,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.4,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.5,Daniel F.,1/12/2022,,Need code file to complete,
4.4.1.6,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.7,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.8,Daniel F.,1/12/2022,,Need code file to complete,
4.4.1.9,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.10,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.11,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.12,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.13,Daniel F.,1/13/2022,1/13/2022,,
4.4.1.14,Daniel F.,1/13/2022,1/13/2022,,
4.4.1.15,Daniel F.,1/13/2022,1/13/2022,,
4.4.2.1,Daniel F.,1/13/2022,1/13/2022,,
4.4.2.2,Daniel F.,1/13/2022,,Need code file to complete,
4.4.2.3,Daniel F.,1/13/2022,1/13/2022,,
4.4.2.4,Daniel F.,1/13/2022,,Need code file to complete,
4.4.2.5,Daniel F.,1/13/2022,1/13/2022,,
4.4.2.6,Daniel F.,1/13/2022,,"Could not do, database error?",
4.4.2.7,Daniel F.,1/13/2022,,Need code file to complete,
4.4.2.8,Daniel F.,1/13/2022,1/13/2022,,
4.4.2.9,Daniel F.,1/13/2022,1/13/2022,,
4.4.2.10,Daniel F.,1/13/2022,,Need code file to complete,
4.4.2.11,Daniel F.,1/13/2022,,Further instruction required,
4.4.2.12,Daniel F.,1/13/2022,1/13/2022,,
4.4.3.1,Daniel F.,1/13/2022,1/13/2022,,
4.4.3.2,Daniel F.,1/13/2022,1/13/2022,,
4.4.3.3,Daniel F.,1/13/2022,1/13/2022,,
4.4.3.4,Daniel F.,1/13/2022,1/13/2022,,
4.4.4.1,Daniel F.,1/13/2022,1/13/2022,,
4.4.4.2,Daniel F.,1/13/2022,1/13/2022,,
4.4.4.3,Daniel F.,1/13/2022,1/13/2022,,
4.4.4.4,Daniel F.,1/13/2022,1/13/2022,,
4.4.4.5,Daniel F.,1/14/2022,1/14/2022,,
4.4.4.6,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.1,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.2,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.3,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.4,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.5,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.6,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.7,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.8,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.9,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.10,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.11,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.12,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.13,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.14,Daniel F.,1/14/2022,1/14/2022,,
4.4.6.1,Daniel F.,1/14/2022,1/14/2022,,
4.4.6.2,Daniel F.,1/14/2022,1/14/2022,,
4.4.6.3,Daniel F.,1/14/2022,1/14/2022,,
4.4.6.4,Daniel F.,1/14/2022,1/14/2022,,
4.4.6.5,Daniel F.,1/14/2022,1/14/2022,,
4.4.6.6,Daniel F.,1/14/2022,1/14/2022,,
4.4.6.7,Daniel F.,1/14/2022,1/14/2022,,
4.4.6.8,Daniel F.,1/14/2022,,I need a foot pedal (?),
4.4.6.9,Daniel F.,1/18/2022,1/18/2022,,
4.4.6.10,Daniel F.,1/18/2022,1/18/2022,,
4.4.6.11,Daniel F.,1/18/2022,1/18/2022,,
4.4.6.12,Daniel F.,1/18/2022,1/18/2022,,
4.4.6.13,Daniel F.,1/18/2022,,Redacted by test supplier,
4.4.6.14,Daniel F.,1/18/2022,,Instructions unclear,
4.4.6.15,Daniel F.,1/18/2022,1/18/2022,,
4.4.6.16,Daniel F.,1/18/2022,1/18/2022,,
4.4.6.17,Daniel F.,1/18/2022,1/18/2022,,
4.4.7.1,Daniel F.,1/18/2022,1/18/2022,,
4.4.7.2,Daniel F.,1/18/2022,,Instructions unclear,
4.4.7.3,Daniel F.,1/18/2022,,Cannot complete without prior,
4.4.7.4,Daniel F.,1/18/2022,,,
4.4.7.5,Daniel F.,1/18/2022,,,
4.4.7.6,Daniel F.,1/18/2022,,Redacted by test supplier,
4.4.7.7,Daniel F.,1/18/2022,,Redacted by test supplier,
4.4.7.8,Daniel F.,1/18/2022,1/18/2022,,
4.4.7.9,Daniel F.,1/18/2022,1/18/2022,,
4.4.7.10,Daniel F.,1/18/2022,,Redacted by test supplier,
4.4.7.11,Daniel F.,1/18/2022,,Redacted by test supplier,
4.4.7.12,Daniel F.,1/18/2022,,Need HDLC link (?),
4.4.7.13,,,,,
4.4.7.14,,,,need code,
4.4.7.15,David P.,1/19/2022,1/19/2022,removed,
4.4.7.16.1,David P.,1/19/2022,1/19/2022,,
4.4.7.16.2,David P.,1/20/2022,1/20/2022,fail,
4.4.7.17,David P. ,1/20/2022,,need dual cab,
4.4.7.18,David P.,1/21/2022,1/21/2022,,
4.4.7.19,David P.,1/21/2022,1/21/2022,,
4.4.7.20,David P.,1/21/2022,1/21/2022,deleted,
4.4.7.21,David P. ,1/21/2022,1/21/2022,,
4.4.7.22,David P.,1/21/2022,1/21/2022,deleted,
4.4.7.23,David P.,1/21/2022,1/21/2022,,
4.4.7.24.1,David P. ,1/21/2022,1/21/2022,,
4.4.7.24.2,David P.,1/21/2022,1/21/2022,,
4.4.7.25,David P.,1/21/2022,1/21/2022,deleted,
4.4.7.26,David P. ,1/21/2022,1/24/2022,,
4.4.7.27.1,David P. ,1/24/2022,4/21/2022,fail,Tester issue pass
4.4.7.27.2,David P.,1/24/2022,4/21/2022,fail,Tester issue pass
4.4.7.28.1,David P.,1/24/2022,1/24/2022,,Procedure issue pass
4.4.7.28.2,David P. ,1/24/2022,1/24/2022,,Procedure issue pass
4.4.7.29.1,David P.,1/24/2022,1/24/2022,,Procedure issue pass
4.4.7.29.2,David P.,1/24/2022,1/24/2022,,
4.4.7.30,David P.,1/24/2022,1/24/2022,fail,System issue pass
4.4.7.31,David P.,1/24/2022,1/24/2022,fail,pass
4.4.7.32,David P.,1/24/2022,1/24/2022,,
4.4.7.33,David P.,1/25/2022,1/25/2022,,
4.4.7.34,David P.,1/25/2022,1/25/2022,fail,pass
4.4.7.35,David P.,1/25/2022,1/25/2022,,pass
4.4.7.36,David P.,1/25/2022,1/25/2022,,
4.4.7.37,David P.,1/25/2022,1/25/2022,,
4.4.7.38,David P.,2/1/2022,2/1/2022,,
4.4.7.39,David P.,2/1/2022,2/1/2022,fail,System issue pass
4.4.7.40,David P.,2/8/2022,2/8/2022,,
4.4.8.1,David P.,2/9/2022,2/9/2022,,
4.4.8.2,David P.,2/9/2022,2/9/2022,fail,Procedure issue pass
4.4.8.3,David P.,2/9/2022,2/9/2022,fail,Procedure issue pass
4.4.9.1,David P.,2/9/2022,2/9/2022,,
4.4.9.2,David P.,2/9/2022,2/9/2022,,
4.4.9.3,David P.,2/9/2022,2/9/2022,,
4.4.10.1,David P.,2/9/2022,2/9/2022,,
4.4.10.2.1,David P.,2/9/2022,2/9/2022,,
4.4.10.2.2,David P.,2/9/2022,2/10/2022,thanks tim,
4.4.10.2.3,David P.,2/10/2022,2/10/2022,,
4.4.10.2.4,David P.,2/10/2022,2/10/2022,,
4.4.10.3,David P.,2/10/2022,2/10/2022,,
4.4.10.4.1,David P.,2/11/2022,2/11/2022,,
4.4.10.4.2,David P.,2/11/2022,2/11/2022,,
4.4.10.4.3,David P.,2/11/2022,2/11/2022,fail,System issue pass
4.4.10.4.4,David P.,2/11/2022,2/11/2022,fail,System issue pass
4.4.10.5,David P.,2/11/2022,,skipped need code,
4.4.10.6,David P.,2/11/2022,,skipped need code,
4.4.11.1,David P.,2/14/2022,2/14/2022,,
4.4.11.2,David P.,2/14/2022,2/14/2022,,
4.4.11.3.1,David P.,2/14/2022,2/14/2022,,
4.4.11.3.2,David P.,2/14/2022,2/14/2022,,
4.4.11.3.3,David P.,2/14/2022,2/14/2022,,
4.4.11.4,David P.,2/14/2022,2/14/2022,removed,
4.4.12.1,David P.,2/14/2022,2/14/2022,,
4.4.12.2.1,David P.,2/14/2022,2/14/2022,,
4.4.12.2.2,David P.,2/14/2022,2/14/2022,,
4.4.12.3,David P.,2/14/2022,2/14/2022,,
4.4.12.4,David P.,2/15/2022,2/15/2022,Had to rerun,
4.4.12.5,David P.,2/15/2022,2/15/2022,Had to rerun,
4.4.12.6,David P.,2/15/2022,2/15/2022,deleted,
4.4.12.7.1,David P.,2/15/2022,2/15/2022,Had to rerun,
4.4.12.7.2,David P.,2/15/2022,2/15/2022,Had to rerun,
4.4.12.8.1,David P.,2/15/2022,2/15/2022,Had to rerun,
4.4.12.8.2,David P.,2/15/2022,2/15/2022,Had to rerun,
4.4.12.9,David P.,2/15/2022,2/15/2022,Had to rerun,
4.4.12.10,David P.,2/15/2022,2/15/2022,,
4.4.12.11,David P.,2/15/2022,2/15/2022,,
4.4.12.12,David P.,2/15/2022,2/15/2022,,
4.4.12.13,David P.,2/15/2022,2/15/2022,,
4.4.12.14,David P.,2/15/2022,2/17/2022,,
4.4.12.15,David P.,2/15/2022,2/15/2022,,
4.4.12.16,David P.,2/15/2022,2/15/2022,,
4.4.12.17,David P.,2/17/2022,2/17/2022,,
4.4.13.1,David P.,2/17/2022,2/17/2022,,
4.4.13.2,David P.,,,skipped need code,
4.4.13.3,David P.,2/21/2022,2/21/2022,had to rerun,
4.4.13.4,David P.,2/21/2022,2/21/2022,(seems identical to previous test),
4.4.14.1,David P.,2/21/2022,2/21/2022,,
4.4.14.2,David P.,2/21/2022,2/21/2022,fail,pass
4.4.14.3,David P.,2/21/2022,2/21/2022,long test,
4.4.14.4,David P.,2/21/2022,2/21/2022,,
4.4.14.5.1,David P.,2/21/2022,2/21/2022,,
4.4.14.5.2,David P.,2/21/2022,2/21/2022,fail,pass
4.4.14.6.1,David P.,2/22/2022,2/22/2022,,
4.4.14.6.2,David P.,2/22/2022,2/23/2022,had to rerun,
4.4.14.7.1,David P.,2/23/2022,2/23/2022,,
4.4.14.7.2,David P.,2/24/2022,2/24/2022,,
4.4.14.8,David P.,2/24/2022,2/24/2022,had to rerun,
4.4.14.9,David P.,2/24/2022,2/24/2022,,
4.4.14.10,David P.,2/24/2022,2/24/2022,Had to rerun,
4.4.14.11,David P.,2/24/2022,2/24/2022,,
4.4.14.12,David P.,2/24/2022,2/24/2022,,
4.4.14.13,David P.,2/24/2022,2/24/2022,fail,Procedure issue pass
4.4.14.14,David P.,2/24/2022,2/24/2022,,
4.4.14.15,David P.,2/24/2022,2/24/2022,,
4.4.14.16,David P.,2/24/2022,2/24/2022,had to rerun,
4.4.14.17,David P.,2/24/2022,2/24/2022,,
4.4.14.18,David P.,2/24/2022,2/24/2022,,
4.4.14.19,David P.,2/24/2022,2/24/2022,time to penalty signal not working,
4.4.14.20,David P.,2/24/2022,2/24/2022,fail,pass
4.4.15.1,David P.,2/24/2022,2/24/2022,removed,
4.4.15.2,David P.,2/28/2022,2/28/2022,had to rerun,
4.4.15.3,David P.,3/1/2022,3/1/2022,,
4.4.15.4,David P.,2/28/2022,2/28/2022,,
4.4.15.5,David P.,2/28/2022,2/28/2022,,
4.4.15.6,David P.,2/28/2022,2/28/2022,had to rerun,
4.4.15.7,David P.,2/28/2022,2/28/2022,,
4.4.15.8,David P.,2/28/2022,2/28/2022,,
4.4.15.9,David P.,2/28/2022,2/28/2022,fail,pass
4.4.15.10,David P.,2/28/2022,3/1/2022,,
4.4.15.11,David P.,2/28/2022,2/28/2022,removed,
4.4.15.12,David P.,3/1/2022,3/1/2022,,
4.4.15.13,David P.,3/1/2022,3/1/2022,removed,
4.4.15.14,David P.,3/1/2022,3/1/2022,fail,pass
4.4.15.15,David P.,3/1/2022,3/1/2022,removed,
4.4.15.16,David P.,3/1/2022,3/1/2022,,
4.4.15.17,David P.,3/1/2022,3/1/2022,fail,Procedure issue pass
4.4.15.18,David P.,3/2/2022,3/2/2022,,
4.4.15.19,David P.,3/2/2022,3/2/2022,,
4.4.15.20,David P.,3/2/2022,3/2/2022,,
4.4.15.21,David P.,3/2/2022,3/2/2022,,
4.4.15.22,David P.,3/2/2022,3/2/2022,,
4.4.16.1,David P.,3/2/2022,3/3/2022,"DNT No ""multitype"" TSR",should be removed
4.4.16.2,David P.,3/2/2022,3/3/2022,"DNT No ""multitype"" TSR",should be removed
4.4.16.3,David P.,3/2/2022,3/3/2022,"DNT No ""multitype"" TSR",should be removed
4.4.16.4,David P.,3/2/2022,3/3/2022,"DNT No ""multitype"" TSR",should be removed
4.4.16.5,David P.,3/2/2022,3/3/2022,"DNT No ""multitype"" TSR",should be removed
4.4.16.6,David P.,3/2/2022,3/3/2022,"DNT No ""multitype"" TSR",should be removed
4.4.17,David P.,3/2/2022,,skipped need code,
4.4.18.1,David P.,3/2/2022,3/2/2022,,
4.4.18.2,David P.,3/2/2022,3/3/2022,had to rerun,
4.4.18.3,David P.,3/3/2022,4/25/2022,instructions unclear fail,pass
4.4.18.4,David P.,3/7/2022,3/7/2022,had to rerun,
4.4.18.5,David P.,3/7/2022,3/8/2022,had to rerun,
4.4.18.6,David P.,3/8/2022,3/8/2022,,
4.4.18.7,David P.,3/8/2022,3/8/2022,,
4.4.18.8,David P.,3/8/2022,3/10/2022,fail,pass
4.4.18.9.1,David P.,3/8/2022,3/10/2022,,
4.4.18.9.2,David P.,3/8/2022,3/10/2022,,
4.4.18.10,David P.,3/8/2022,,skipped need code,
4.4.18.11,David P.,3/8/2022,3/8/2022,,
4.4.18.12.1,David P.,3/8/2022,3/9/2022,fail,pass
4.4.18.12.2,David P.,3/9/2022,3/9/2022,4hour test,
4.4.18.13.1,David P.,3/9/2022,4/19/2022,fail,pass
4.4.18.13.2,David P.,3/9/2022,4/19/2022,,
4.4.18.14,David P.,3/9/2022,3/9/2022,fail,pass
4.4.18.15,David P.,3/10/2022,3/10/2022,,
4.4.18.16,David P.,3/10/2022,3/10/2022,,
4.4.18.17,David P.,3/10/2022,3/10/2022,,
4.4.18.18,David P.,3/10/2022,3/10/2022,,
4.4.19.1,David P.,3/10/2022,3/10/2022,,
4.4.19.2.1,David P.,3/14/2022,4/19/2022,fail,pass
4.4.19.2.2,David P.,3/14/2022,4/19/2022,fail,pass
4.4.19.3.1,David P.,3/14/2022,3/14/2022,fail,pass
4.4.19.3.2,David P.,3/14/2022,3/14/2022,,
4.4.19.4,David P.,3/14/2022,3/14/2022,fail,pass
4.4.19.5,David P.,3/14/2022,4/25/2022,fail,Procedure issue pass
4.4.19.6,David P.,3/14/2022,3/14/2022,fail,pass
4.4.19.7,David P.,3/14/2022,3/14/2022,,
4.4.19.8,David P.,3/15/2022,3/15/2022,fail,pass ?
4.4.20.1,David P.,3/15/2022,3/15/2022,,
4.4.20.2,David P.,3/15/2022,3/15/2022,,
4.4.20.3,David P.,3/17/2022,3/17/2022,,
4.4.20.4.1,David P.,3/17/2022,3/17/2022,,
4.4.20.4.2,David P.,3/17/2022,3/17/2022,,
4.4.20.4.3,David P.,3/21/2022,3/21/2022,,
4.4.20.4.4.1,David P.,3/21/2022,3/21/2022,fail,pass
4.4.20.4.4.2,David P.,3/21/2022,3/21/2022,fail,pass
4.4.20.4.4.3,David P.,3/21/2022,3/21/2022,instructions unclear,
4.4.21.1.1,David P.,3/21/2022,3/21/2022,,
4.4.21.1.2,David P.,3/21/2022,3/21/2022,,
4.4.21.1.3,David P.,3/21/2022,3/21/2022,,
4.4.21.1.4,David P.,3/22/2022,3/22/2022,fail,pass
4.4.21.1.5,David P.,3/22/2022,3/22/2022,,
4.4.21.1.6,David P.,3/22/2022,3/22/2022,,
4.4.21.2.1,David P.,3/22/2022,3/24/2022,,
4.4.21.2.2,David P.,3/24/2022,3/29/2022,fail,pass 
4.4.21.2.3,David P.,3/24/2022,3/24/2022,,
4.4.21.2.4,David P.,3/29/2022,3/29/2022,,
4.4.21.2.5,David P.,3/29/2022,3/29/2022,,
4.4.21.2.6,David P.,3/29/2022,3/30/2022,,
4.4.21.2.7,David P.,3/30/2022,3/30/2022,,
4.4.21.2.8,David P.,3/30/2022,3/30/2022,,
4.4.22.1,David P.,3/30/2022,3/30/2022,No foot pedal,
4.4.22.2,David P.,3/30/2022,3/30/2022,No foot pedal,
4.4.22.3,David P.,3/30/2022,3/30/2022,No foot pedal,
4.4.22.4,David P.,3/30/2022,3/30/2022,No foot pedal,
4.4.22.5,David P.,3/30/2022,3/30/2022,No foot pedal,
4.4.22.6,David P.,3/30/2022,3/30/2022,No foot pedal,
4.4.22.7,David P.,3/30/2022,3/30/2022,No foot pedal,
4.4.22.8,David P.,4/1/2022,4/1/2022,No foot pedal,
4.4.22.9,David P.,4/1/2022,4/19/2022,No foot pedal,
4.4.22.10,David P.,4/1/2022,4/19/2022,No foot pedal,
4.4.22.11,David P.,4/1/2022,4/1/2022,,
4.4.22.12,David P.,4/1/2022,4/1/2022,,
4.4.22.13,David P.,4/7/2022,4/7/2022,,
4.4.22.14,David P.,4/7/2022,4/7/2022,,
4.4.23.1,J. Hoffman,3/3/2022,3/3/2022,,
4.4.23.2,J. Hoffman,3/3/2022,3/3/2022,,
4.4.23.3,J. Hoffman,3/4/2022,3/4/2022,,
4.4.23.4,J. Hoffman,3/4/2022,3/4/2033,,
4.4.23.5,J. Hoffman,3/4/2022,3/4/2033,,
4.4.23.6,J. Hoffman,3/4/2022,3/4/2033,,
4.4.23.7,J. Hoffman,3/4/2022,3/4/2033,,
4.4.23.8,J. Hoffman,3/7/2022,3/7/2022,,
4.4.23.9,J. Hoffman,3/7/2022,3/7/2022,,
4.4.23.10,J. Hoffman,3/7/2022,3/7/2022,,
4.4.23.11,J. Hoffman,3/7/2022,3/7/2022,,
4.4.23.12,J. Hoffman,3/7/2022,3/7/2022,,
4.4.23.13,J. Hoffman,3/7/2022,3/7/2022,,
4.4.23.14,J. Hoffman,3/7/2022,3/7/2022,,
4.4.23.15,J. Hoffman,3/7/2022,3/7/2022,,
4.4.23.16,J. Hoffman,3/7/2022,3/7/2022,,
4.4.23.17,J. Hoffman,3/7/2022,3/7/2022,,
4.4.23.18,J. Hoffman,3/7/2022,3/7/2022,,
4.4.23.19,J. Hoffman,3/7/2022,3/7/2022,,
4.4.23.20,J. Hoffman,3/7/2022,3/7/2022,,
4.4.23.21,J. Hoffman,3/7/2022,3/7/2022,,
4.4.23.22,J. Hoffman,3/7/2022,3/7/2022,,
4.4.23.23,J. Hoffman,3/7/2022,3/7/2022,,
4.4.23.24,J. Hoffman,3/7/2022,3/7/2022,,
4.4.24.1,J. Hoffman,3/9/2022,3/9/2022,,
4.4.24.2,J. Hoffman,3/9/2022,3/9/2022,,
4.4.24.3,J. Hoffman,3/9/2022,3/9/2022,,
4.4.24.4,J. Hoffman,3/9/2022,3/9/2022,,
4.4.24.5,J. Hoffman,3/9/2022,3/9/2022,,
4.4.24.6,J. Hoffman,3/9/2022,3/9/2022,,
4.4.24.7.1,J. Hoffman,3/11/2022,3/11/2022,,
4.4.24.7.2,J. Hoffman,3/11/2022,3/11/2022,,
4.4.24.7.3,J. Hoffman,3/11/2022,3/11/2022,,
4.4.24.7.4,J. Hoffman,3/11/2022,3/11/2022,,
4.4.24.7.5,J. Hoffman,3/14/2022,3/14/2022,,
4.4.24.7.6,J. Hoffman,3/14/2022,3/14/2022,,
4.4.24.7.7,J. Hoffman,3/14/2022,3/14/2022,,
4.4.24.8,J. Hoffman,3/14/2022,3/14/2022,,
4.4.24.9,J. Hoffman,3/14/2022,3/14/2022,,
4.4.24.10,J. Hoffman,3/14/2022,3/14/2022,,
4.4.24.11.1,J. Hoffman,3/14/2022,3/14/2022,,
4.4.24.11.2,J. Hoffman,3/18/2022,3/18/2022,,
4.4.24.12.1,J. Hoffman,3/18/2022,3/18/2022,,
4.4.24.12.2,J. Hoffman,3/21/2022,3/21/2022,,
4.4.24.12.3,J. Hoffman,3/21/2022,3/21/2022,,
4.4.24.12.4,J. Hoffman,3/22/2022,3/22/2022,,
4.4.24.13.1,J. Hoffman,4/19/2022,4/19/2022,joint effort,
4.4.24.13.2,David P.,4/19/2022,4/19/2022,fail,pass
4.4.24.13.3,David P.,4/25/2022,4/25/2022,,
4.4.24.13.4,David P.,4/25/2022,4/25/2022,fail,pass
4.4.24.13.5,David P.,4/26/2022,4/26/2022,,
4.4.24.13.6,David P.,4/26/2022,4/26/2022,,
4.4.24.13.7,David P.,4/28/2022,4/28/2022,fail ran twice possible test typo,pass
4.4.24.13.8,David P.,4/28/2022,4/28/2022,reran,
4.4.24.13.9,David P.,4/28/2022,4/28/2022,fail ran 3x SimAcses Crash,pass
4.4.24.14.1,J. Hoffman,3/29/2022,3/29/2022,,
4.4.24.14.2,J. Hoffman,3/29/2022,3/29/2022,,
4.4.24.15,J. Hoffman,3/29/2022,3/29/2022,,
4.4.24.16.1,J. Hoffman,3/29/2022,3/29/2022,,
4.4.24.16.2,J. Hoffman,3/29/2022,3/29/2022,,
4.4.24.16.3,J. Hoffman,3/29/2022,3/29/2022,,
4.4.24.16.4,J. Hoffman,3/29/2022,3/29/2022,,
4.4.24.16.5,J. Hoffman,3/29/2022,3/29/2022,,
4.4.24.17.1,J. Hoffman,3/30/2022,3/30/2022,,
4.4.25.1,J. Hoffman,,,,
4.4.25.2,J. Hoffman,,,,
4.4.25.3,J. Hoffman,3/30/2022,3/30/2022,,
4.4.25.4,J. Hoffman,3/30/2022,3/30/2022,,
4.4.25.5,J. Hoffman,3/30/2022,3/30/2022,,
4.4.25.6,J. Hoffman,3/30/2022,3/30/2022,,
4.4.25.7,J. Hoffman,3/30/2022,3/30/2022,,
4.4.25.8,J. Hoffman,3/30/2022,3/30/2022,,
4.4.25.9,J. Hoffman,3/30/2022,3/30/2022,,
4.4.25.10,J. Hoffman,3/31/2022,3/31/2022,,
4.4.25.11,J. Hoffman,3/31/2022,3/31/2022,,
4.4.25.12,J. Hoffman,3/31/2022,3/31/2022,,
4.4.25.13,J. Hoffman,3/31/2022,3/31/2022,,
4.4.25.14,J. Hoffman,3/31/2022,3/31/2022,,
4.4.25.15,J. Hoffman,4/1/2022,4/1/2022,,
4.4.25.16,J. Hoffman,4/1/2022,4/1/2022,,
4.4.25.17,J. Hoffman,4/1/2022,4/1/2022,,
4.4.25.18,J. Hoffman,4/4/2022,4/4/2022,,
4.4.25.19,J. Hoffman,4/4/2022,4/4/2022,,
4.4.25.20,J. Hoffman,4/4/2022,4/4/2022,,
4.4.25.21,J. Hoffman,4/4/2022,4/4/2022,,
4.4.25.22,J. Hoffman,4/4/2022,4/4/2022,,
4.4.25.23,J. Hoffman,4/4/2022,4/4/2022,,
4.4.25.24,J. Hoffman,4/4/2022,4/4/2022,,
4.4.25.25,J. Hoffman,4/4/2022,4/4/2022,,
4.4.25.26,J. Hoffman,4/4/2022,4/4/2022,,
4.4.25.27,J. Hoffman,4/4/2022,4/4/2022,,
4.4.25.28,J. Hoffman,4/4/2022,4/4/2022,,
4.4.25.29,J. Hoffman,4/4/2022,4/4/2022,,
